Date,Fund Name,Partner,Source,Headline,URL,Summary
2026-03-18,grad Capital,,inc42.com,Why India’s Edtech Sector Looks Like A Two-Horse Race,https://inc42.com/features/why-indias-edtech-sector-looks-like-a-two-horse-race/,"India’s edtech sector is undergoing a quiet but decisive consolidation phase. Last week, Unacademy cofounder Gaurav Munjal announced on X&#8230;"
2026-03-18,OG Capital,,inc42.com,"Cabinet Clears ₹33,600 Cr BHAVYA Scheme To Boost Domestic Manufacturing",https://inc42.com/buzz/cabinet-clears-%e2%82%b933600-cr-bhavya-scheme-to-boost-domestic-manufacturing/,"The Union cabinet has approved a new scheme called Bharat Audyogik Vikas Yojna (BHAVYA) with a total outlay of ₹33,660&#8230;"
2026-03-18,pi Ventures,,inc42.com,Urban Company Shares Zoom 16% After SBI MF Picks Up Additional 4% Stake,https://inc42.com/buzz/urban-company-shares-zoom-16-after-sbi-mf-picks-up-additional-4-stake/,"Update &#124; March 18, 2026, 16:00 IST Shares of Urban Company ended Wednesday’s trading session up 10.33% at ₹121.20 apiece&#8230;"
2026-03-18,pi Ventures,,inc42.com,Aerchain Bags $13 Mn To Scale Agentic AI Platform For Enterprise Procurement,https://inc42.com/buzz/aerchain-bags-13-mn-to-scale-agentic-ai-platform-for-enterprise-procurement/,Enterprise AI startup Aerchain has raised $13 Mn (about ₹118 Cr) in its Series A round led by venture capital&#8230;
2026-03-18,Accel India,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,Together Fund,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,OG Capital,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,Cloud Capital,,inc42.com,Inc42 And Oracle Bring Together 25+ Tech Leaders To Discuss AI Infrastructure And Cloud Strategy,https://inc42.com/buzz/inc42-and-oracle-bring-together-25-tech-leaders-to-discuss-ai-infrastructure-and-cloud-strategy/,"As AI adoption accelerates across India’s startup ecosystem, technology leaders are shifting focus from experimentation to execution. The challenge, in&#8230;"
2026-03-18,Cloud Capital,,inc42.com,"War Hits Data Centres, IG Defence Bags $5 Mn & More",https://inc42.com/buzz/war-hits-data-centres-ig-defence-bags-5-mn-more/,"The War Cloud Over Data Centres When we think about the casualties of modern warfare, data centres rarely come to&#8230;"
2026-03-17,Cloud Capital,,inc42.com,"War Hits Global Data Centres: Cloud Resilience, India’s Role In Focus",https://inc42.com/features/war-strikes-on-data-centres-cloud-resilience-india-role-in-focus/,"Earlier this month, amid the major conflict between the US-Israel combine and Iran in the Middle East, Amazon’s cloud services&#8230;"
